player_name,season,ast_improved
"Skylar Mays",2022-23,7.7
"Derrick Walton Jr.",2021-22,6
"Kendall Marshall",2013-14,5.8
"Brevin Knight",2004-05,5.4
"Kris Dunn",2021-22,5.1
"Gilbert Arenas",2008-09,4.9
"Devonte' Graham",2019-20,4.9
"Deron Williams",2006-07,4.8
"Jeremy Lin",2011-12,4.8
"Mo Williams",2004-05,4.8
"Russell Westbrook",2020-21,4.7
"Khyri Thomas",2020-21,4.6
"Sam Cassell",1999-00,4.5
"Shaquille Harrison",2022-23,4.5
"Damon Jones",2003-04,4.2
"Kevin Porter Jr.",2020-21,4.1
"Mac McClung",2022-23,4
"Mateen Cleaves",2003-04,4
"Walt Lemon Jr.",2018-19,4
"Dan Dickau",2004-05,4
"Brandon Williams",2021-22,3.9
"Boris Diaw",2005-06,3.9
"Malcolm Brogdon",2019-20,3.9
"Rajon Rondo",2015-16,3.8
"Jeff McInnis",2003-04,3.8
