player_name,season,reb_improved
"Julius Randle",2015-16,10.2
"Danny Fortson",2000-01,9.6
"Jaylen Hoard",2021-22,8.6
"Ndudi Ebi",2004-05,7.8
"Hassan Whiteside",2014-15,7.8
"Reggie Evans",2010-11,7.7
"Jamie Feick",1998-99,7.5
"Quentin Richardson",2012-13,7.4
"Moses Brown",2020-21,7.3
"Nikola Vucevic",2012-13,7.1
Nene,2006-07,7
"Earl Barron",2009-10,6.7
"Primoz Brezec",2004-05,6.6
"Pavel Podkolzin",2005-06,6.6
"Jermaine O'Neal",2000-01,6.5
"Omer Asik",2012-13,6.4
"Larry Sanders",2012-13,6.4
"DeAndre Jordan",2013-14,6.4
"Reggie Evans",2012-13,6.3
"Troy Murphy",2002-03,6.3
"Miles Plumlee",2013-14,6.2
"Rudy Gobert",2014-15,6.1
"Danny Fortson",1998-99,6
"Zach Randolph",2003-04,6
"Al Jefferson",2006-07,5.9
