season,player_name,team_abbreviation,ast
1996-97,"Mark Jackson",IND,11.4
1997-98,"Rod Strickland",WAS,10.5
1998-99,"Jason Kidd",PHX,10.8
1999-00,"Jason Kidd",PHX,10.1
2000-01,"Jason Kidd",PHX,9.8
2001-02,"Andre Miller",CLE,10.9
2002-03,"Jason Kidd",NJN,8.9
2003-04,"Jason Kidd",NJN,9.2
2004-05,"Steve Nash",PHX,11.5
2005-06,"Steve Nash",PHX,10.5
2006-07,"Steve Nash",PHX,11.6
2007-08,"Chris Paul",NOH,11.6
2008-09,"Chris Paul",NOH,11
2009-10,"Steve Nash",PHX,11
2010-11,"Steve Nash",PHX,11.4
2011-12,"Rajon Rondo",BOS,11.7
2012-13,"Rajon Rondo",BOS,11.1
2013-14,"Chris Paul",LAC,10.7
2014-15,"Chris Paul",LAC,10.2
2015-16,"Rajon Rondo",SAC,11.7
2016-17,"James Harden",HOU,11.2
2017-18,"Russell Westbrook",OKC,10.3
2018-19,"Russell Westbrook",OKC,10.7
2019-20,"LeBron James",LAL,10.2
2020-21,"Russell Westbrook",WAS,11.7
2021-22,"Chris Paul",PHX,10.8
2022-23,"James Harden",PHI,10.7
