season,player_name,team_abbreviation,pts
1996-97,"Michael Jordan",CHI,29.6
1997-98,"Michael Jordan",CHI,28.7
1998-99,"Allen Iverson",PHI,26.8
1999-00,"Shaquille O'Neal",LAL,29.7
2000-01,"Allen Iverson",PHI,31.1
2001-02,"Allen Iverson",PHI,31.4
2002-03,"Tracy McGrady",ORL,32.1
2003-04,"Tracy McGrady",ORL,28
2004-05,"Allen Iverson",PHI,30.7
2005-06,"Kobe Bryant",LAL,35.4
2006-07,"Kobe Bryant",LAL,31.6
2007-08,"LeBron James",CLE,30
2008-09,"Dwyane Wade",MIA,30.2
2009-10,"Kevin Durant",OKC,30.1
2010-11,"Kevin Durant",OKC,27.7
2011-12,"Kevin Durant",OKC,28
2012-13,"Carmelo Anthony",NYK,28.7
2013-14,"Kevin Durant",OKC,32
2014-15,"Russell Westbrook",OKC,28.1
2015-16,"Stephen Curry",GSW,30.1
2016-17,"Russell Westbrook",OKC,31.6
2017-18,"James Harden",HOU,30.4
2018-19,"James Harden",HOU,36.1
2019-20,"James Harden",HOU,34.3
2020-21,"Stephen Curry",GSW,32
2021-22,"Joel Embiid",PHI,30.6
2022-23,"Joel Embiid",PHI,33.1
