season,player_name,team_abbreviation,reb
1996-97,"Dennis Rodman",CHI,16.1
1997-98,"Dennis Rodman",CHI,15
1998-99,"Chris Webber",SAC,13
1999-00,"Dennis Rodman",DAL,14.3
2000-01,"Danny Fortson",GSW,16.3
2001-02,"Ben Wallace",DET,13
2002-03,"Ben Wallace",DET,15.4
2003-04,"Kevin Garnett",MIN,13.9
2004-05,"Kevin Garnett",MIN,13.5
2005-06,"Kevin Garnett",MIN,12.7
2006-07,"Kevin Garnett",MIN,12.8
2007-08,"Dwight Howard",ORL,14.2
2008-09,"Dwight Howard",ORL,13.8
2009-10,"Dwight Howard",ORL,13.2
2010-11,"Kevin Love",MIN,15.2
2011-12,"Dwight Howard",ORL,14.5
2012-13,"Anderson Varejao",CLE,14.4
2013-14,"DeAndre Jordan",LAC,13.6
2014-15,"DeAndre Jordan",LAC,15
2015-16,"Andre Drummond",DET,14.8
2016-17,"Hassan Whiteside",MIA,14.1
2017-18,"Andre Drummond",DET,16
2018-19,"Andre Drummond",DET,15.6
2019-20,"Andre Drummond",CLE,15.2
2020-21,"Clint Capela",ATL,14.3
2021-22,"Rudy Gobert",UTA,14.7
2022-23,"Anthony Davis",LAL,12.5
